标题： 大家游戏里犯过什么愚蠢的错误？ 	 链接：http://tieba.baidu.com/p/5678786602 	 发帖人：橙子吃我 	 发帖时间：5-2 	 回复数量： 181 
标题： 萌新想问一下动物心情的问题，我干草都三组999了，不想让动物 	 链接：http://tieba.baidu.com/p/5811108277 	 发帖人：椰子C 	 发帖时间：15:22 	 回复数量： 4 
标题： 听说你们很能肝？新版本的花盆流，试试不？ 	 链接：http://tieba.baidu.com/p/5806296614 	 发帖人：bingjilinger 	 发帖时间：7-23 	 回复数量： 25 
标题： 各位大神，为什么你们能第一年春就好几十万，我只能几千 	 链接：http://tieba.baidu.com/p/5807270098 	 发帖人：AK47之神M4A1 	 发帖时间：7-23 	 回复数量： 58 
标题： 猪商买了个虚空蛋 有啥用 	 链接：http://tieba.baidu.com/p/5006030287 	 发帖人：我爱财神1... 	 发帖时间：2017-03 	 回复数量： 11 
标题： 问一下果酱属不属于精工制品 	 链接：http://tieba.baidu.com/p/5811109556 	 发帖人：稳健金身 	 发帖时间：15:23 	 回复数量： 3 
标题： 有更穷的吗 一年下来13w 	 链接：http://tieba.baidu.com/p/5810446221 	 发帖人：卡比87 	 发帖时间：02:12 	 回复数量： 16 
标题： 想找人联机 	 链接：http://tieba.baidu.com/p/5811152353 	 发帖人：滑稽 	 发帖时间：15:53 	 回复数量： 0 
标题： 为什么松露产量很低啊？ 	 链接：http://tieba.baidu.com/p/5809253556 	 发帖人：谦备 	 发帖时间：7-25 	 回复数量： 28 
标题： Joja可乐，满足您的生活！ 	 链接：http://tieba.baidu.com/p/5296931455 	 发帖人：Mic微人 	 发帖时间：2017-08 	 回复数量： 129 
标题： 关于冬25送礼的问题 	 链接：http://tieba.baidu.com/p/4421103161 	 发帖人：潜龙静息 	 发帖时间：2016-03 	 回复数量： 11 
标题： 看了一些星露谷物语的视频感觉好像挺好玩，想入一个，大家是推荐 	 链接：http://tieba.baidu.com/p/5811021071 	 发帖人：fhj134697852 	 发帖时间：14:22 	 回复数量： 18 
标题： 萍水相逢？？(｡･ˇ_ˇ･｡:) 	 链接：http://tieba.baidu.com/p/5809353125 	 发帖人：兔桑盯喵桑 	 发帖时间：7-25 	 回复数量： 13 
标题： 这些彩色的是啥啊，结了婚以后就在这里了，好像也不能互动 	 链接：http://tieba.baidu.com/p/5810374263 	 发帖人：天然小卷... 	 发帖时间：00:21 	 回复数量： 10 
标题： 到第二年夏天也就三十二万……好菜 	 链接：http://tieba.baidu.com/p/5790590018 	 发帖人：神奇子子 	 发帖时间：7-11 	 回复数量： 97 
标题： 求助大佬 我星露谷种了两片祝尼摩小屋田种满远古水果酿酒 我可 	 链接：http://tieba.baidu.com/p/5810613891 	 发帖人：滑稽 	 发帖时间：09:08 	 回复数量： 25 
标题： 新人，刚开局，性别选什么好 	 链接：http://tieba.baidu.com/p/5810176630 	 发帖人：微风之羽 	 发帖时间：7-25 	 回复数量： 15 
标题： 想知道switch上怎么修改存档 	 链接：http://tieba.baidu.com/p/5508003249 	 发帖人：拥我而去... 	 发帖时间：1-8 	 回复数量： 63 
标题： 矿场什么时间才能进去啊，萌新都玩了23天了，那块石头还在，是 	 链接：http://tieba.baidu.com/p/5719229620 	 发帖人：你不会柏... 	 发帖时间：5-27 	 回复数量： 27 
标题： 结婚一年了，连个灯都没安。上一天晚上看到这句话戳中内心深处才 	 链接：http://tieba.baidu.com/p/5759294214 	 发帖人：我头晕 	 发帖时间：6-21 	 回复数量： 22 
标题： 新手求教 给博物馆捐赠有什么用？ 	 链接：http://tieba.baidu.com/p/5810113163 	 发帖人：唱歌开发商 	 发帖时间：7-25 	 回复数量： 5 
标题： 手机上有没有和星露谷物语很像的游戏？ 	 链接：http://tieba.baidu.com/p/5429537696 	 发帖人：蒙奇D路飞 	 发帖时间：2017-11 	 回复数量： 56 
标题： 绿帽谷，绿帽谷，我现在总有种出轨了的罪恶感 	 链接：http://tieba.baidu.com/p/5809743608 	 发帖人：齐渊 	 发帖时间：7-25 	 回复数量： 5 
标题： 吃我的加强版爆炎击，清场利器，灭怪必备 	 链接：http://tieba.baidu.com/p/5555063900 	 发帖人：godlcd 	 发帖时间：2-17 	 回复数量： 53 
标题： 各位觉得山姆甜还是亚历克斯亦或者谢恩 	 链接：http://tieba.baidu.com/p/5795460101 	 发帖人：北冥鱿鱼... 	 发帖时间：7-15 	 回复数量： 29 
标题： 星露谷物语明明加了护栏为什么松露还在外面？？请问大家。还有松 	 链接：http://tieba.baidu.com/p/5518271382 	 发帖人：小Q博士后 	 发帖时间：1-16 	 回复数量： 23 
标题： 我的F？ 	 链接：http://tieba.baidu.com/p/5810483113 	 发帖人：卡比87 	 发帖时间：04:00 	 回复数量： 4 
标题： 献祭完成了，第三年，乔家都倒闭了，为啥还是乔家来救的我 	 链接：http://tieba.baidu.com/p/5717695262 	 发帖人：匿名每一刻 	 发帖时间：5-26 	 回复数量： 30 
标题： 【教程】SMAPI安装方法以及常见问题解答 	 链接：http://tieba.baidu.com/p/5702079944 	 发帖人：莉娜的可... 	 发帖时间：5-16 	 回复数量： 152 
标题： 联机来一波好友好不好！ 	 链接：http://tieba.baidu.com/p/5810267552 	 发帖人：Doris 	 发帖时间：7-25 	 回复数量： 7 
标题： WeGame的星露谷能不能更新，啥时候更新😣 	 链接：http://tieba.baidu.com/p/5764114833 	 发帖人：ZH小明 	 发帖时间：6-24 	 回复数量： 6 
标题： 大佬来猜，阿比盖尔的储物箱里面是什么？ 	 链接：http://tieba.baidu.com/p/5295126190 	 发帖人：苹果是红... 	 发帖时间：2017-08 	 回复数量： 53 
标题： 秀秀你们的农场名字 	 链接：http://tieba.baidu.com/p/5074483149 	 发帖人：大根奶糕 	 发帖时间：2017-04 	 回复数量： 35 
标题： 最近发现波西亚时光有点像3D版的星露谷  好像还是国产的 	 链接：http://tieba.baidu.com/p/5617344783 	 发帖人：航海七扬 	 发帖时间：3-26 	 回复数量： 36 
标题： 【原创美化mod】从零开始的百合谷物语计划！！ 	 链接：http://tieba.baidu.com/p/5747791490 	 发帖人：忠犬系人... 	 发帖时间：6-15 	 回复数量： 152 
标题： steam正版联机一直掉线是什么情况 	 链接：http://tieba.baidu.com/p/5808350342 	 发帖人：薄暮苍白 	 发帖时间：7-24 	 回复数量： 9 
标题： 【原创】【整合帖】超详细合理修改存档方法！ 	 链接：http://tieba.baidu.com/p/5119675587 	 发帖人：你似笔下... 	 发帖时间：2017-05 	 回复数量： 355 
标题： Switch农场布局强迫症福利贴！！ 	 链接：http://tieba.baidu.com/p/5561577729 	 发帖人：222q_ 	 发帖时间：2-23 	 回复数量： 132 
标题： 星露谷 关于养猪 	 链接：http://tieba.baidu.com/p/5811246410 	 发帖人：欧阳轩罗 	 发帖时间：17:01 	 回复数量： 4 
标题： 新手最容易犯的几个错误 	 链接：http://tieba.baidu.com/p/4688102545 	 发帖人：Gaster 	 发帖时间：2016-07 	 回复数量： 1368 
标题： 大神们问一下 	 链接：http://tieba.baidu.com/p/5810985712 	 发帖人：独角卍孤灯 	 发帖时间：13:57 	 回复数量： 2 
标题： 第一年春买了140个草莓，但是我发现不对头了…… 如果把14 	 链接：http://tieba.baidu.com/p/5801400639 	 发帖人：鸳鸯于飞 	 发帖时间：7-19 	 回复数量： 74 
标题： 每次都想泡玛鲁，说真的玛鲁优点真心多，没有大小姐脾气，对人和 	 链接：http://tieba.baidu.com/p/5556809472 	 发帖人：crp 	 发帖时间：2-19 	 回复数量： 21 
标题： 要被自己蠢死了玩了六十多小时才知道背包扩容是在皮埃尔旁边一直 	 链接：http://tieba.baidu.com/p/5810026629 	 发帖人：harris 	 发帖时间：7-25 	 回复数量： 57 
标题： 妈耶 进朋友的档 然后想去找卖帽子的NPC  结果... 	 链接：http://tieba.baidu.com/p/5703632684 	 发帖人：小雨啊fff 	 发帖时间：5-17 	 回复数量： 24 
标题： 牛羊不圈养，跑到菜地那会破坏菜地吗？ 	 链接：http://tieba.baidu.com/p/5112457523 	 发帖人：thinkprogram 	 发帖时间：2017-05 	 回复数量： 14 
标题： 我想问一下，星露谷只能75%，但是我看有的主播玩就明显比我的 	 链接：http://tieba.baidu.com/p/5810909386 	 发帖人：Coandy_Z 	 发帖时间：12:56 	 回复数量： 11 
标题： 为什么NPC送的菜谱不显示呢？厨房那边也没更新 	 链接：http://tieba.baidu.com/p/5807596991 	 发帖人：物质总会... 	 发帖时间：7-23 	 回复数量： 44 
标题： 求解关于npc好感的机制 	 链接：http://tieba.baidu.com/p/5810861398 	 发帖人：不... 	 发帖时间：12:15 	 回复数量： 7 
标题： 【原创】Miku初音未来模型+立绘替换MOD 	 链接：http://tieba.baidu.com/p/5088066408 	 发帖人：Misaki小小萌 	 发帖时间：2017-04 	 回复数量： 361 
标题： 【建交贴】《波西亚时光》吧欢迎大家光临！ 	 链接：http://tieba.baidu.com/p/5525840827 	 发帖人：aaeondyj 	 发帖时间：1-23 	 回复数量： 190 
标题： 萌新想问一下动物心情的问题，我干草都三组999了，不想让动物 	 链接：http://tieba.baidu.com/p/5811108277 	 发帖人：椰子C 	 发帖时间：15:22 	 回复数量： 4 
标题： 听说你们很能肝？新版本的花盆流，试试不？ 	 链接：http://tieba.baidu.com/p/5806296614 	 发帖人：bingjilinger 	 发帖时间：7-23 	 回复数量： 25 
标题： 各位大神，为什么你们能第一年春就好几十万，我只能几千 	 链接：http://tieba.baidu.com/p/5807270098 	 发帖人：AK47之神M4A1 	 发帖时间：7-23 	 回复数量： 58 
标题： 猪商买了个虚空蛋 有啥用 	 链接：http://tieba.baidu.com/p/5006030287 	 发帖人：我爱财神1... 	 发帖时间：2017-03 	 回复数量： 11 
标题： 问一下果酱属不属于精工制品 	 链接：http://tieba.baidu.com/p/5811109556 	 发帖人：稳健金身 	 发帖时间：15:23 	 回复数量： 3 
标题： 有更穷的吗 一年下来13w 	 链接：http://tieba.baidu.com/p/5810446221 	 发帖人：卡比87 	 发帖时间：02:12 	 回复数量： 16 
标题： 想找人联机 	 链接：http://tieba.baidu.com/p/5811152353 	 发帖人：滑稽 	 发帖时间：15:53 	 回复数量： 0 
标题： 为什么松露产量很低啊？ 	 链接：http://tieba.baidu.com/p/5809253556 	 发帖人：谦备 	 发帖时间：7-25 	 回复数量： 28 
标题： Joja可乐，满足您的生活！ 	 链接：http://tieba.baidu.com/p/5296931455 	 发帖人：Mic微人 	 发帖时间：2017-08 	 回复数量： 129 
标题： 关于冬25送礼的问题 	 链接：http://tieba.baidu.com/p/4421103161 	 发帖人：潜龙静息 	 发帖时间：2016-03 	 回复数量： 11 
标题： 看了一些星露谷物语的视频感觉好像挺好玩，想入一个，大家是推荐 	 链接：http://tieba.baidu.com/p/5811021071 	 发帖人：fhj134697852 	 发帖时间：14:22 	 回复数量： 18 
标题： 萍水相逢？？(｡･ˇ_ˇ･｡:) 	 链接：http://tieba.baidu.com/p/5809353125 	 发帖人：兔桑盯喵桑 	 发帖时间：7-25 	 回复数量： 13 
标题： 这些彩色的是啥啊，结了婚以后就在这里了，好像也不能互动 	 链接：http://tieba.baidu.com/p/5810374263 	 发帖人：天然小卷... 	 发帖时间：00:21 	 回复数量： 10 
标题： 到第二年夏天也就三十二万……好菜 	 链接：http://tieba.baidu.com/p/5790590018 	 发帖人：神奇子子 	 发帖时间：7-11 	 回复数量： 97 
标题： 求助大佬 我星露谷种了两片祝尼摩小屋田种满远古水果酿酒 我可 	 链接：http://tieba.baidu.com/p/5810613891 	 发帖人：滑稽 	 发帖时间：09:08 	 回复数量： 25 
标题： 新人，刚开局，性别选什么好 	 链接：http://tieba.baidu.com/p/5810176630 	 发帖人：微风之羽 	 发帖时间：7-25 	 回复数量： 15 
标题： 想知道switch上怎么修改存档 	 链接：http://tieba.baidu.com/p/5508003249 	 发帖人：拥我而去... 	 发帖时间：1-8 	 回复数量： 63 
标题： 矿场什么时间才能进去啊，萌新都玩了23天了，那块石头还在，是 	 链接：http://tieba.baidu.com/p/5719229620 	 发帖人：你不会柏... 	 发帖时间：5-27 	 回复数量： 27 
标题： 结婚一年了，连个灯都没安。上一天晚上看到这句话戳中内心深处才 	 链接：http://tieba.baidu.com/p/5759294214 	 发帖人：我头晕 	 发帖时间：6-21 	 回复数量： 22 
标题： 新手求教 给博物馆捐赠有什么用？ 	 链接：http://tieba.baidu.com/p/5810113163 	 发帖人：唱歌开发商 	 发帖时间：7-25 	 回复数量： 5 
标题： 手机上有没有和星露谷物语很像的游戏？ 	 链接：http://tieba.baidu.com/p/5429537696 	 发帖人：蒙奇D路飞 	 发帖时间：2017-11 	 回复数量： 56 
标题： 绿帽谷，绿帽谷，我现在总有种出轨了的罪恶感 	 链接：http://tieba.baidu.com/p/5809743608 	 发帖人：齐渊 	 发帖时间：7-25 	 回复数量： 5 
标题： 吃我的加强版爆炎击，清场利器，灭怪必备 	 链接：http://tieba.baidu.com/p/5555063900 	 发帖人：godlcd 	 发帖时间：2-17 	 回复数量： 53 
标题： 各位觉得山姆甜还是亚历克斯亦或者谢恩 	 链接：http://tieba.baidu.com/p/5795460101 	 发帖人：北冥鱿鱼... 	 发帖时间：7-15 	 回复数量： 29 
标题： 星露谷物语明明加了护栏为什么松露还在外面？？请问大家。还有松 	 链接：http://tieba.baidu.com/p/5518271382 	 发帖人：小Q博士后 	 发帖时间：1-16 	 回复数量： 23 
标题： 我的F？ 	 链接：http://tieba.baidu.com/p/5810483113 	 发帖人：卡比87 	 发帖时间：04:00 	 回复数量： 4 
标题： 献祭完成了，第三年，乔家都倒闭了，为啥还是乔家来救的我 	 链接：http://tieba.baidu.com/p/5717695262 	 发帖人：匿名每一刻 	 发帖时间：5-26 	 回复数量： 30 
标题： 【教程】SMAPI安装方法以及常见问题解答 	 链接：http://tieba.baidu.com/p/5702079944 	 发帖人：莉娜的可... 	 发帖时间：5-16 	 回复数量： 152 
标题： 联机来一波好友好不好！ 	 链接：http://tieba.baidu.com/p/5810267552 	 发帖人：Doris 	 发帖时间：7-25 	 回复数量： 7 
标题： WeGame的星露谷能不能更新，啥时候更新😣 	 链接：http://tieba.baidu.com/p/5764114833 	 发帖人：ZH小明 	 发帖时间：6-24 	 回复数量： 6 
标题： 大佬来猜，阿比盖尔的储物箱里面是什么？ 	 链接：http://tieba.baidu.com/p/5295126190 	 发帖人：苹果是红... 	 发帖时间：2017-08 	 回复数量： 53 
标题： 秀秀你们的农场名字 	 链接：http://tieba.baidu.com/p/5074483149 	 发帖人：大根奶糕 	 发帖时间：2017-04 	 回复数量： 35 
标题： 最近发现波西亚时光有点像3D版的星露谷  好像还是国产的 	 链接：http://tieba.baidu.com/p/5617344783 	 发帖人：航海七扬 	 发帖时间：3-26 	 回复数量： 36 
标题： 【原创美化mod】从零开始的百合谷物语计划！！ 	 链接：http://tieba.baidu.com/p/5747791490 	 发帖人：忠犬系人... 	 发帖时间：6-15 	 回复数量： 152 
标题： steam正版联机一直掉线是什么情况 	 链接：http://tieba.baidu.com/p/5808350342 	 发帖人：薄暮苍白 	 发帖时间：7-24 	 回复数量： 9 
